Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1200-1299,"ca. 1200 - Cornuda, Treviso (Italy)",Queued for approval (MiracleHunter source link added this pass -- was missing),research_findings candidate 1c9e672d-91cb-4475-946b-65fc8a0d8777,
1200-1299,ca. 1200 - Loccum (Germany),Queued for approval (MiracleHunter source link added this pass),research_findings candidate 9ef85c42-7f3b-44d9-a3e6-6039523086d3,adam-loccum
1200-1299,"1200 - Castiglion Fiorentino, Tuscany, Diocese of Arezzo (Italy)",Queued for approval,research_findings candidate 226d7f50-f990-4b7b-82c6-efa434d353a7,
1200-1299,"1200 - Heisterbach (Germany) [Visionary: Henry, future abbot]","Queued for approval (MiracleHunter source link added this pass; this record also covers the undated Cistercian-Monks Heisterbach entry later on this page -- same physical site, second apparition tradition)",research_findings candidate 47ea944f-43f5-4570-8ba1-3c455217bc17,
1200-1299,1205 - Sint-Truiden (Belgium) [Visionary: St. Lutgard of Tongres],"Queued for approval (matched to Aywieres Abbey, where Lutgard's apparitions continued and are best documented from 1206 on, rather than the St. Catherine convent named for 1205; MiracleHunter source link added this pass)",research_findings candidate 30c7cfb1-e464-40c1-b134-310edb010230,lutgardis-tongeren
1200-1299,"1208 - Prouille, Toulouse (France) [Visionary: St. Dominic Guzman]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 50a8dcef-69ab-4728-8cc6-f1c4fb3cebc2,dominic-guzman
1200-1299,"May 26, 1208 - Sorso, Sassari (Italy)",Queued for approval,research_findings candidate c8d70f7e-94ce-4b3f-b08f-1bd9f4b683e8,
1200-1299,1214 - Clairefontane (Luxembourg) [Visionary: Princess Ermesinde],Queued for approval (MiracleHunter source link added this pass),research_findings candidate a7a99c69-bf4e-4128-a282-a78e96e53518,
1200-1299,"1216 - Assisi, Umbria (Italy) [Visionary: St. Francis of Assisi / Porziuncola]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 78a6f4b9-f949-4cc3-9c5f-95fef0115902,francis-assisi
1200-1299,"undated (between the 1216 Assisi and 1218 Barcelona entries) - Villers (Belgium) [Visionary: a lay brother, leprosy]","Queued for approval (MiracleHunter source link added this pass; this record also covers the undated Gottardo/Villers entry later on this page -- same physical site, second apparition tradition)",research_findings candidate b09664e0-00cd-4796-b2cc-c4183cc96450,
1200-1299,undated (between the 1216 Assisi and 1218 Barcelona entries) - Paris (France) [Visionary: Bl. Boniface],Not previously ingested -- written as new lead this pass,research_findings lead 3a0170c3-3029-4801-8828-f33f5adecb55,
1200-1299,"Aug 1-2, 1218 - Barcelona (Spain) [Visionary: Saint Peter Nolasco]",Queued for approval,research_findings candidate d5f20496-b64e-4cf7-bb90-6ed45c1606af,peter-nolasco
1200-1299,"undated (ca. 1218, same block as Barcelona) - Rome (Italy) [Visionary: Deacon Reginald of Orleans]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded e13c9860-5359-4934-b974-2e0bc77013a6,
1200-1299,"undated (ca. 1218, same block as Barcelona) - Trier (Germany) [Visionary: a priest]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded f1b2fe2a-e61a-40b8-bb63-816975f28de2,
1200-1299,"undated (ca. 1218, same block as Barcelona) - Lowen/Leuven (Belgium) [Visionary: Rachel, a Jewish girl]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded ac0f6425-8018-46ef-be57-80b0938f939c,
1200-1299,1220 - Morocco [Visionary: St. Accursio],"Untraceable (Fulda-pattern: matched candidate is the Royal Monastery of Santa Cruz, Coimbra -- a real, well-documented site housing the relics of the Martyrs of Morocco -- but MiracleHunter's own entry places this specific apparition in Morocco itself, shortly before Accursio's death, and calls the source ""unverifiable""; no structure survives in Morocco from this era. marian-sites tag removed this pass, MiracleHunter source link added)",research_findings excluded 8b2d48da-1cfc-4bf4-b284-d984770a0812,martyrs-of-morocco
1200-1299,1221 - Padua/Venice (Italy) [Visionary: St. Anthony of Padua],"Queued for approval (matched to the Hermitage of Montepaolo near Forli, per MiracleHunter's own narrative, not to Padua itself; MiracleHunter source link added this pass)",research_findings candidate 66c00a35-e551-44b9-b5fb-752c390be5ea,anthony-padua
1200-1299,1222 - Bologna (Italy) [Visionary: Blessed Jordan of Saxony],Queued for approval (marian-sites tag and MiracleHunter source link both added this pass -- were missing),research_findings candidate ccafeb43-5bf8-4954-b46e-0e7a362d2964,"dominic-guzman, jordan-of-saxony"
1200-1299,"undated (ca. 1222, same block as Bologna) - Bonn (Germany) [Visionary: a woman in prison]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded 7841ea31-91fa-417b-b093-b42596f9b0e8,
1200-1299,"May 9, 1225 - Banos de la Encina, Jaen, Andalucia (Spain)",Queued for approval (MiracleHunter source link added this pass),research_findings candidate cd71d698-b4b3-4f62-a6f2-885598b83f0c,
1200-1299,1225 - Cologne (Germany) [Visionary: St. Albert the Great],Queued for approval (marian-sites tag and MiracleHunter source link both added this pass -- were missing),research_findings candidate 11fdcca9-3871-494c-9b45-27c980035194,albertus-magnus
1200-1299,"undated (ca. 1225, same block as Cologne) - Rome (Italy) [Visionary: Pope Honorius III]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded e0aa55f1-845e-47b4-b7b9-30150ca30770,
1200-1299,1226 - Wartburg (Germany) [Visionary: St. Elizabeth of Thuringia],Queued for approval (MiracleHunter source link added this pass),research_findings candidate e986c192-9981-479d-a6a2-f6bd98bc862a,elizabeth-thuringia
1200-1299,c. 1230 - Apulia (Italy) [Visionary: Saint Peter Celestine],Queued for approval (matched to the Hermitage of St. Onuphrius at Morrone near Sulmona -- Celestine's documented mountain hermitage; marian-sites tag and MiracleHunter source link both added this pass -- were missing),research_findings candidate 1886d162-e7a2-4232-bba6-0d24facb63aa,peter-celestine
1200-1299,"undated (ca. 1230, same block as Apulia) - Padua/Venice (Italy) [Visionary: Blessed Helen of Padua]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded 4584c41b-0d6f-4dcc-8736-19058fecac6f,
1200-1299,"undated (ca. 1230, same block as Apulia) - Villers (Belgium) [Visionary: Gottardo, a Cistercian Monk]","Queued for approval (second apparition tradition at the same Villers Abbey site logged earlier on this page -- see the lay-brother entry above; same candidate row, no new work needed)",research_findings candidate b09664e0-00cd-4796-b2cc-c4183cc96450,
1200-1299,"undated (ca. 1230, same block as Apulia) - Kiev (Ukraine) [Visionary: St. Hyacinth of Poland]","Excluded -- no locatable site identified (medieval Kyiv, including any structure Hyacinth used, was destroyed in the 1240 Mongol sack; MiracleHunter source link added this pass)",research_findings excluded fb60b7b5-819a-4f31-a64f-db563b493c9c,hyacinth-poland
1200-1299,"Aug 15, 1233 - Florence (Italy) [Visionaries: the Seven Founders of the Servite Order]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate e473e205-6d88-49e2-ba1d-e4308a11f5f7,servite-seven-founders
1200-1299,"undated (ca. 1233, same block as Florence) - Agde (France) [Visionary: Laodato Monaco]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded c29b1be9-0278-4f4a-8de2-1352bbae0c83,
1200-1299,"undated (ca. 1233, same block as Florence) - Monte Fano, Marche (Italy) [Visionary: Abbot San Silvestre Gozzelino]","Queued for approval (second apparition tradition tied to the same St. Silvester Guzzolini as the ca.1200 Osimo entry above, but a distinct physical site -- Abbey of Monte Fano, Fabriano -- kept as its own record; MiracleHunter source link added this pass)",research_findings candidate 60d6f396-fa9e-42f4-a606-ea7cb7e60a3f,sylvester-guzzolini
1200-1299,"undated (ca. 1233, same block as Florence) - Wranau, Moravia [Visionary: Wilhelm Rosenberg]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 68a1b147-7ce7-4b9c-bc41-d527fdd77c28,
1200-1299,"1241 - Hostyn, Moravia/Czech Republic",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 94926490-caf0-4a6e-b597-7241e449033d,
1200-1299,"1246 - Viterbo, Lazio (Italy) [Visionary: St. Rose of Viterbo]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 883c4e25-dfa9-4072-b157-0ed9c8d30e51,rose-viterbo
1200-1299,c. 1250 - Swieta Lipka (Poland) [Visionary: a prisoner],"Approved, in sites (MiracleHunter link_type/comment standardized this pass to match the established 'MiracleHunter' + Search-comment format)",https://orbisdei.org/site/pl-swieta-lipka-swieta-lipka-sanctuary,
1200-1299,1250 - Helfta (Germany) [Visionary: St. Matilda of Hackeborn],"Queued for approval (MiracleHunter source link added this pass; this record also covers the undated St. Gertrude/Helfta entry later on this page -- same physical site, second visionary)",research_findings candidate 620e79d4-f33b-4478-bc0e-58a9f0520ff6,"matilda-hackeborn, gertrude-great"
1200-1299,"c. 1250 - Somma Lombardo (Italy) [Visionary: a deaf-mute shepherdess, Our Lady of the Acorn]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 47b13c26-59af-4f82-a9dd-5346ac212aef,
1200-1299,c. 1250 - Albendorf (Poland) [Visionary: a knight],Queued for approval (Albendorf is the historical German name for Wambierzyce; MiracleHunter source link added this pass),research_findings candidate 090b6e2c-090d-4c10-ab2e-eaa8a4581d07,
1200-1299,"1250 - Lucca, Tuscany (Italy) [Visionary: St. Zita]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 59ea83ed-e22b-4f14-a70f-6b5f0edd40ff,zita-lucca
1200-1299,"July 16, 1251 - Aylesford (England) [Visionary: St. Simon Stock]",Queued for approval,research_findings candidate 57220ce6-89e4-43df-908c-eb58bae809ec,simon-stock
1200-1299,"undated (ca. 1251, same block as Aylesford) - Siena, Tuscany (Italy) [Visionary: St. Aldobrandesca of Siena]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded a9c7c8dc-9162-4f55-ae3e-9b9f0e3eb8b0,aldobrandesca-siena
1200-1299,"undated (ca. 1251, same block as Aylesford) - Florence (Italy) [Visionary: St. Philip Benizi]","Excluded -- no locatable site identified (his real tie to the Servite motherhouse, Santissima Annunziata, is not tied to this specific apparition claim, which names no location; MiracleHunter source link added this pass)",research_findings excluded f9e1477c-0248-4c32-ace2-95ea31adeb31,philip-benizi
1200-1299,"undated (ca. 1251, same block as Aylesford) - Heisterbach (Germany) [Visionaries: Cistercian Monks]","Queued for approval (second apparition tradition at the same Heisterbach Abbey site logged earlier on this page -- see the 1200 Henry entry above; same candidate row, no new work needed)",research_findings candidate 47ea944f-43f5-4570-8ba1-3c455217bc17,
1200-1299,"undated (ca. 1251, same block as Aylesford) - Margaret Island, Budapest (Hungary) [Visionary: Saint Margaret of Hungary]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 0aabb6a2-8682-40d0-8b04-12d49ffa6521,margaret-hungary
1200-1299,"undated (ca. 1251, same block as Aylesford) - Tortosa (Spain) [Visionary: a priest, belt relic]","Queued for approval (same Santa Cinta / Holy Sash legend already logged as a candidate on the 1100-1199 era-page CSV, dated there 1178 with a carpenter as visionary; this 1200s account is a garbled retelling of the same tradition, not a distinct site -- marked duplicate in the DB and pointed at the surviving 1100-1199 record)",research_findings candidate 76f13531-65db-444e-931a-7e805b35d7e2,
1200-1299,"undated (ca. 1251, same block as Aylesford) - Siena, Tuscany (Italy) [Visionary: Blessed John Piccolomini]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded 069fb868-80a5-4c5d-83fc-d9269edb4261,john-piccolomini
1200-1299,"undated (ca. 1251, same block as Aylesford) - Helft/Helfta (Germany) [Visionary: St. Gertrude]","Queued for approval (second visionary at the same Kloster Helfta site logged earlier on this page -- see the 1250 Matilda of Hackeborn entry above; same candidate row, already tagged for both visionaries)",research_findings candidate 620e79d4-f33b-4478-bc0e-58a9f0520ff6,"matilda-hackeborn, gertrude-great"
1200-1299,"1268 - Avezzano (Italy) [Visionary: a deaf-mute shepherd, Our Lady of Pietraquaria]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 4da8fe20-2e0f-4cb9-8662-669cbf6e3a3a,
1200-1299,"Aug 8, 1282 - Messina (Italy) [Visionaries: Nicholas, a friar, & soldiers; Our Lady of Montalto / The White Lady]","Queued for approval (MiracleHunter source link added this pass; this record also covers the June 12, 1294 Messina entry later on this page -- same sanctuary/title, second recorded apparition date)",research_findings candidate 2d619e58-286e-4f75-9070-542f04c5202a,
1200-1299,"1283 - Forli, Emilia Romagna (Italy) [Visionary: St Pellegrino Laziosi]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 8427e86b-02c2-4868-92c3-69c83579b860,pellegrino-laziosi
1200-1299,"1285 - Tolentino, Marche (Italy) [Visionary: St. Nicholas of Tolentino]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 9d651bbf-bc1c-43cd-b3c8-13ada6aaaeb6,nicholas-tolentino
1200-1299,1290 - Foligno (Italy) [Visionary: Blessed Angela of Foligno],Queued for approval (MiracleHunter source link added this pass),research_findings candidate 47d292a5-ed75-4abf-91de-de9e8d7c51da,angela-foligno
1200-1299,"undated (ca. 1290, same block as Foligno) - Muhllacken (Austria) [Visionary: Bruno Knappen]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 4dbc303b-bc76-40e3-944c-f265e1d746b4,
1200-1299,"c. 1291 - Pentone (Italy) [Visionary: Maria Madia, Madonna di Termine]","Queued for approval (MiracleHunter source link added this pass, in addition to the external parrocchiapentone.it source already present)",research_findings candidate d7d41011-a242-4236-9a9e-a8847ea34e19,
1200-1299,"June 12, 1294 - Messina (Italy) [Visionary: Nicholas, a friar]","Queued for approval (second recorded apparition date at the same Sanctuary of Montalto logged earlier on this page -- see the Aug 8, 1282 entry above; same candidate row, no new work needed)",research_findings candidate 2d619e58-286e-4f75-9070-542f04c5202a,
1300-1399,ca. 1300 - Russia [Visionary: St. Abraham de Gorodetsk],"Excluded -- no locatable site identified (no specific hermitage or location named beyond ""a desert place"" in Russia; MiracleHunter source link added this pass)",research_findings excluded e68073c4-1b84-417a-a4fc-f87dc7674fd6,abraham-gorodetsk
1300-1399,"September 7, 1300 - Roverano (Italy)",Queued for approval (MiracleHunter source link added this pass),research_findings candidate a39ff810-aa83-47e7-814c-4ea049a90d1f,
1300-1399,"1301 - Laurignano (Italy) [Visionary: Simone Adami, a blind beggar]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 8380bdee-16a3-423e-a9bd-5520cb0f4595,
1300-1399,"1306 - Proceno, Lazio (Italy) [Visionary: St. Agnes of Montepulciano]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 5b624931-d929-46e2-8112-6ed66df22e17,agnes-montepulciano
1300-1399,"1306 - Sant'Agata Feltria, Rimini, Emilia-Romagna (Italy) [Madonna del Soccorso]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate a7c9a8d6-dd69-4703-b3cd-b8e93a87d6d1,
1300-1399,"1308 - Spoleto, Umbria (Italy) [Visionary: St. Clare of Montefalco]",Queued for approval (matched to the Sanctuary of St. Clare of Montefalco -- her actual convent/order name-place -- rather than Spoleto; MiracleHunter source link added this pass),research_findings candidate 9163bc23-670f-41fa-8d24-f1c291dd3671,clare-montefalco
1300-1399,"1308 - Finstad, Uppsala/Vadstena (Sweden) [Visionary: St. Bridget of Sweden]","Queued for approval (matched to Vadstena Abbey, the Brigidine motherhouse she founded; MiracleHunter source link added this pass)",research_findings candidate bc337cd1-c6a9-4fc3-9985-ffa0ab1f1991,bridget-sweden
1300-1399,"April 28, 1310 - Bergamo (Italy) [Visionary: a peasant, Madonna del Castagno]","Queued for approval (matched to a real, named candidate -- Sanctuary of the Madonna del Castagno, Bergamo -- found under a different run_region (a later-era pass, since MiracleHunter apparently lists a second apparition tradition at the same site); a stale duplicate exclusion under this page's own run_region was cleaned up and pointed here. MiracleHunter source link added this pass)",research_findings candidate 28b9eae2-6e95-4900-b762-416c62954d47,
1300-1399,"1310 - Florence (Italy) [Visionary: St. Alexis Falconieri, Servite]","Queued for approval (matched to the Sanctuary of Monte Senario, the Servite mountain retreat referenced in his biography, distinct from the Basilica of the Santissima Annunziata already logged for the 1233 founding apparition on the 1200-1299 era-page CSV; MiracleHunter source link added this pass)",research_findings candidate e9ef2181-e6d1-4774-a132-bbf3cdc1f7f1,servite-seven-founders
1300-1399,"1311 - Florence (Italy) [Visionary: Blessed Jordan of Pisa, refectory vision]","Excluded -- no locatable site identified (no convent is named beyond ""the fathers' refectory""; likely Santa Maria Novella but unconfirmed from MiracleHunter's text, so not assigned; MiracleHunter source link added this pass)",research_findings excluded 7a5683d2-195f-4a43-8d03-140549f57b27,
1300-1399,undated (same block as 1311 Florence) - Avignone/Avignon (France) [Visionary: Peter Favier],Excluded -- no locatable site identified (no specific building named for this deathbed vision; MiracleHunter source link added this pass),research_findings excluded 1863a628-49cc-4bc2-8d03-abde9c4ccb93,
1300-1399,"1316 - Avignon (France) [Visionary: James d'Euse / Pope John XXII, Sabbatine privilege]",Excluded -- no locatable site identified (historically significant tradition but no specific Avignon site named for the vision itself; MiracleHunter source link added this pass),research_findings excluded 5e8a5b1c-a691-4340-bb40-db2aa1513a05,
1300-1399,1322 - Constance (Germany) [Visionary: Bl. Henry Suso],"Excluded -- no locatable site identified (Suso's documented life centers on Cologne and Ulm, not Constance; his Ulm tomb was destroyed by 16th-century iconoclasts and never recovered, leaving no standing site tied to him today; MiracleHunter source link added this pass)",research_findings excluded b75178cf-54d1-4897-a36d-2906d09cb0ac,henry-suso
1300-1399,1325 - Montserrat (Spain) [Visionary: a mother],"Approved, in sites (distinct captive-ransom miracle tradition dated 1325, not a repeat of the 1025/founding-date conflation flagged Untraceable on the 1000-1099 era-page CSV; MiracleHunter source link added to the published site this pass -- was missing entirely)",https://orbisdei.org/site/es-collbato-holy-cave-of-montserrat,our-lady-of-montserrat
1300-1399,1326 - Asti (Italy) [Visionary: Bishop Guido],"Excluded -- no locatable site identified (MiracleHunter's own dedicated subpage, reached via its ""More about this apparition"" link, reveals this is the same Belmonte/King Arduino tradition already researched from the 1000-1099 era-page CSV -- Belmonte itself was not independently confirmable there as a distinct standing site, only the Turin/Sanctuary of the Consolata component was. Exclusion reason corrected and the genuine dedicated MiracleHunter link added this pass -- the previous reason cited only garbled summary-table text and had not consulted the dedicated subpage)",research_findings excluded 3c5d23e3-ab4d-4d73-ad1b-f08a2ded9bc2,
1300-1399,"1326 - Caceres (Spain) [Visionary: Gil Cordero, Our Lady of Guadalupe]",Queued for approval (genuine dedicated MiracleHunter subpage link added this pass -- was missing),research_findings candidate 77f430c8-f2d5-4c6a-bd2d-1816dc5759f7,
1300-1399,"1326 - Moscow (Russia) [Visionary: Saint Peter, Metropolitan of Moscow]","Queued for approval (matched to the Dormition Cathedral, Moscow Kremlin; MiracleHunter source link added this pass)",research_findings candidate 76222c89-8a7e-47fc-81c3-ce2427ba2c1e,peter-metropolitan-moscow
1300-1399,1328 - Fiesole and Florence (Italy) [Visionary: St. Andrew Corsini],Queued for approval (genuine dedicated MiracleHunter subpage link added this pass -- was missing),research_findings candidate 9099cd1e-d546-48c0-9759-3bebb34d3484,andrew-corsini
1300-1399,undated (same block as 1328 Corsini) - Bergerac (France) [Visionary: St. Peter Thomasius],"Excluded -- no locatable site identified (only that he ""entered the Carmel at Bergerac"" in 1325 is given; the apparitions themselves are described without location; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings excluded d16c66a7-9497-4f79-acfa-3f2f329895ce,peter-thomas
1300-1399,1336 - Estremoz (Portugal) [Visionary: St. Elizabeth of Portugal],"Queued for approval (matched to the Convent of Santa Clara-a-Velha, Coimbra, where she retired; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings candidate 281a95e7-e461-4145-b1b5-d066212a84b5,elizabeth-portugal
1300-1399,"undated (same block as 1336 Estremoz) - Pistoia, Tuscany (Italy) [Visionary: a sick girl]","Excluded -- no locatable site identified (no name given for the chapel built in 1348 beyond ""Pistoia"" generally; MiracleHunter source link added this pass)",research_findings excluded 1eee0fa2-2615-4c29-8adf-42868423427e,
1300-1399,"December 29, 1336 - Bra (Italy) [Visionary: Egidia Mathis, Madonna dei Fiori]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 2f747b8d-3f8f-4ac8-baf6-0eeee55a160a,
1300-1399,1338 - Paris (France) [Visionaries: a monastic Franciscan community],"Excluded -- no locatable site identified (no specific monastery named beyond ""a church of a Franciscan monastery"" in Paris; MiracleHunter source link added this pass)",research_findings excluded 2d98374e-8d7d-4071-af1e-8de10fdca9ad,
1300-1399,"1340 - Pochaiv, Ukraine (Russia) [Visionary: St. Sergius]","Queued for approval (MiracleHunter's own narrative describes St. Sergius of Radonezh, whose documented monastery is the Holy Trinity-St. Sergius Lavra near Moscow, not Pochaiv itself, which the page heading names but the text never actually describes; MiracleHunter source link added this pass)",research_findings candidate b7fbe303-2eac-4c70-8896-8c1696316240,sergius-radonezh
1300-1399,1340 - Tournai (Belgium) [Visionaries: the townspeople],Queued for approval (MiracleHunter source link added this pass),research_findings candidate 28951b34-08c3-486c-a763-42d0543fa5ce,
1300-1399,1344 - Cairo (Egypt) [Visionary: Blessed Livini],Excluded -- no locatable site identified (no specific church named in Cairo for these apparitions; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry),research_findings excluded 90693efd-9bff-40a1-afae-42d819c0d89b,
1300-1399,"May 15, 1345 - Montenero-Leghorn (Levora) (Italy) [Visionary: a crippled shepherd boy]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate bf592e07-0f06-4294-a5d1-667cbbe381d2,
1300-1399,"May 15, 1345 - Siena/Bibbiena (Italy) [Visionary: St. Catherine of Siena, Madonna of the Stone and Darkness]","Queued for approval (matched to the Basilica of San Domenico, Siena, Cappella delle Volte, site of her documented mystical-marriage vision; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings candidate 8ec04625-d40e-4ec9-9b6c-b90fc2684a8d,catherine-siena
1300-1399,"April 8, 1356 - Basella, Lombardy, Diocese of Bergamo (Italy) [Visionary: Marina Cassone, Madonna of the Olive]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 99f400c1-e593-42cd-b25a-d591ee551781,
1300-1399,"1359 - Naples (Italy) [Visionary: Charles, Count of Verona, Liberator of Prisoners]","Queued for approval (matched to the Basilica of Santa Maria del Carmine Maggiore, Naples; MiracleHunter source link added this pass)",research_findings candidate a5792055-b197-4221-8454-1bc75d3b5bf6,
1300-1399,"May 14, 1386 - Dovera, Cremona, Lombardy / Ostigilia (Italy) [Visionary: a young deaf-mute shepherdess, Beata Vergine del Pilastrello]","Excluded -- no locatable site identified (MiracleHunter's own entry conflates two distinct place names -- Dovera, Cremona and Ostiglia -- with no other descriptive detail; MiracleHunter source link added this pass)",research_findings excluded 497f7de8-2993-481d-a9bf-117d8cec0f97,
1300-1399,"1363 - Mariazell (Austria) [Visionary: Ludwig I, King of Hungary]","Queued for approval (second apparition tradition at the same Mariazell site MiracleHunter itself cross-references, logged as a candidate from the 1100-1199 era-page CSV -- same candidate row, no new work needed)",research_findings candidate 6f57b68c-ea04-4cca-bb86-9618a0f4b16c,
1300-1399,"undated (same block as 1363 Mariazell) - Pribram (Czechoslovakia/Czech Republic) [Visionary: Ernest Pardubitz, archbishop of Prague]","Queued for approval (matched to Svata Hora Basilica, Pribram; MiracleHunter source link added this pass)",research_findings candidate 6d2b5412-c209-407c-a9fc-6f663e67e290,
1300-1399,undated (same block as 1363 Mariazell) - Valencia (Spain) [Visionary: St. Vincent Ferrer],"Queued for approval (matched to the Royal Basilica of St. Vincent Ferrer, Valencia; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings candidate 0131e3d0-9ad7-4488-a391-0986e73d2d91,vincent-ferrer
1300-1399,"1380 - Aljubarrota (Portugal) [Visionary: Catarina Anes, miraculous spring]","Queued for approval (matched to the Chapel of Our Lady of the Light / Fonte Santa, Alcobaca -- ""Fonte Santa"" (Holy Spring) matches the spring/water narrative directly; a second detail in the same MiracleHunter entry, a knight's prayer at a church near Ourem before the 1385 Battle of Aljubarrota, is not separately tracked. MiracleHunter source link added this pass)",research_findings candidate a68d3bc9-61b4-4907-b4dd-03ac1e5eb403,
1300-1399,1384 - Mariastein (Switzerland) [Visionary: a shepherd herding cows],Queued for approval (MiracleHunter source link added this pass),research_findings candidate 5159f021-3ec0-4800-9fcf-d929697b1efa,
1300-1399,1392 - Segovia (Spain) [Visionary: a shepherd],"Queued for approval (matched to the Convent of Santa Cruz la Real, Segovia; MiracleHunter source link added this pass)",research_findings candidate e595e183-c8fb-481c-985a-678bf3914174,
1300-1399,"1392 - Tenerife, Canary Islands (Spain) [Visionaries: two Guanche shepherds, Virgen de la Candelaria]",Queued for approval (matched to the Basilica of Candelaria; MiracleHunter source link added this pass),research_findings candidate 7f71936e-4a22-43f2-b3a1-234cd44c78c7,
1300-1399,Eve of the Ascension 1395 - Garaballa (Spain) [Visionary: a shepherd],Excluded -- no locatable site identified (no source cited and no shrine/chapel name given; MiracleHunter source link added this pass),research_findings excluded 85d38024-197b-43a0-9697-36672e1830a5,
1300-1399,July 1399 - Valverde (Italy) [Visionary: a peasant],"Excluded -- no locatable site identified (only ""Valverde (Italy)"" is given with a bare citation; distinct from the already-published Sanctuary of Our Lady of Valverde written from the 1000-1099 era page, but not confirmable as the same or a different specific site; MiracleHunter source link added this pass)",research_findings excluded 6868d463-31b3-4d2c-bd05-4e13a74b1bfe,
1300-1399,"March 26, 1399 - Santa Gadea del Cid, Burgos (Spain) [Visionaries: Pedro Garcia de Arbe and Juan de Enzinas, Virgen del Espino]",Queued for approval,research_findings candidate 786441f5-90be-4950-b5f2-c1e1203a044a,
1300-1399,undated (end of 14th century) - Avila (Spain),"Excluded -- no locatable site identified (MiracleHunter's entire entry reads only ""some people spoke of an apparition of the Virgin,"" with no visionary, site, or other detail given; MiracleHunter source link added this pass)",research_findings excluded 346a36ce-27a6-4c42-889b-b9943014e1ea,
1400-1499,c. 1400 - Deir Al-Maghti / Al-Magtas (Egypt),Excluded — no locatable site identified (MiracleHunter source link added this pass — was missing),research_findings excluded 98b9f7f8-01e9-4547-992d-419754b7ebc6,
1400-1499,c. 1400 - Macerata (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 70d36057-b72c-43d5-bab5-50ec91dc2a9e,
1400-1499,c. 1400 - Casal Santa Maria (Portugal),Excluded — no locatable site identified (marian-sites tag and dedicated-subpage MiracleHunter link added this pass — both missing),research_findings excluded 4d731667-bd67-45fa-858c-7bd617f5ba8e,
1400-1499,c. 1400 - Bettola (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9268e9bf-6104-4fad-bfd8-9a7b25706fb1,
1400-1499,c. 1400 - Albendorf (Poland),"Queued for approval (same site as MiracleHunter's own 1200-1299-page ""Albendorf"" listing — cross-page duplicate tradition; MiracleHunter link already present from a prior pass)",research_findings candidate 090b6e2c-090d-4c10-ab2e-eaa8a4581d07,
1400-1499,c. 1400 - Airola / Sesta Godano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7ac0b421-b231-4d83-b86e-d82e82a244e0,
1400-1499,1400 - Selvino (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded c0f1f281-ba3f-4a46-bb09-f7f900d39342,
1400-1499,1407 - Maria Waldrast (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c3b7ef61-c522-4271-9811-64a99b315e04,
1400-1499,1413 - Schiedam (Holland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8c81bcdb-82a1-4ef1-9ea3-f7655ff69bb7,
